assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoformpanther_family	date	annotation_extension_class	taxon
CGD	CGD:CAL0000192725	RFX2	CGD_REF:CAL0122455|PMID:19252121		GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IMP			20140625		NCBITaxon:237561
BHF-UCL	UniProtKB:P46934	NEDD4	PMID:17996703		GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IMP			20081007		NCBITaxon:9606
