assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoformpanther_family	date	annotation_extension_class	taxon
ARUK-UCL	MGI:MGI:98834	Trp53	MGI:MGI:6316512|PMID:30089260		GO:1990248	regulation of transcription from RNA polymerase II promoter in response to DNA damage	ISS	UniProtKB:P04637		20190625	UniProtKB:A0A0R4J0I9	NCBITaxon:10090
MGI	MGI:MGI:98834	Trp53	MGI:MGI:4834177|GO_REF:0000096		GO:1990248	regulation of transcription from RNA polymerase II promoter in response to DNA damage	ISO	UniProtKB:P04637		20190625		NCBITaxon:10090
FlyBase	FB:FBgn0039044	p53	FB:FBrf0223434|PMID:24265704		GO:1990248	regulation of transcription from RNA polymerase II promoter in response to DNA damage	IMP			20140327		NCBITaxon:7227
FlyBase	FB:FBgn0039044	p53	FB:FBrf0229995|PMID:25882045		GO:1990248	regulation of transcription from RNA polymerase II promoter in response to DNA damage	IMP			20160211		NCBITaxon:7227
FlyBase	FB:FBgn0260749	Utx	FB:FBrf0223434|PMID:24265704		GO:1990248	regulation of transcription from RNA polymerase II promoter in response to DNA damage	IMP			20140327		NCBITaxon:7227
CGD	CGD:CAL0000227667	B9J08_001730	CGD_REF:CAL0121033		GO:1990248	regulation of transcription from RNA polymerase II promoter in response to DNA damage	IEA	SGD:S000004422		20210202		NCBITaxon:498019
CGD	CGD:CAL0000183795	SEN1	CGD_REF:CAL0121033		GO:1990248	regulation of transcription from RNA polymerase II promoter in response to DNA damage	IEA	SGD:S000004422		20210202		NCBITaxon:237561
CGD	CGD:CAL0136729	CAGL0M00990g	CGD_REF:CAL0121033		GO:1990248	regulation of transcription from RNA polymerase II promoter in response to DNA damage	IEA	SGD:S000004422		20210202		NCBITaxon:284593
CGD	CGD:CAL0000159958	Cd36_84720	CGD_REF:CAL0121033		GO:1990248	regulation of transcription from RNA polymerase II promoter in response to DNA damage	IEA	SGD:S000004422		20210202		NCBITaxon:573826
CGD	CGD:CAL0000153843	CPAR2_807460	CGD_REF:CAL0121033		GO:1990248	regulation of transcription from RNA polymerase II promoter in response to DNA damage	IEA	SGD:S000004422		20210202		NCBITaxon:578454
ARUK-UCL	UniProtKB:P04637	TP53	PMID:30089260		GO:1990248	regulation of transcription from RNA polymerase II promoter in response to DNA damage	IDA			20190625	UniProtKB:Q07954	NCBITaxon:9606
RGD	RGD:3889	Tp53	RGD:1624291		GO:1990248	regulation of transcription from RNA polymerase II promoter in response to DNA damage	ISO	UniProtKB:P04637		20190625	UniProtKB:Q07954	NCBITaxon:10116
Ensembl	UniProtKB:E7FIY6	TP53	GO_REF:0000107		GO:1990248	regulation of transcription from RNA polymerase II promoter in response to DNA damage	IEA	UniProtKB:P04637|ensembl:ENSP00000269305		20221109		NCBITaxon:9615
Ensembl	UniProtKB:P67939	TP53	GO_REF:0000107		GO:1990248	regulation of transcription from RNA polymerase II promoter in response to DNA damage	IEA	UniProtKB:P04637|ensembl:ENSP00000269305		20220907		NCBITaxon:9913
