assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoformpanther_family	date	annotation_extension_class	taxon
Ensembl	UniProtKB:F1S774	CHEK1	GO_REF:0000107		GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IEA	UniProtKB:O35280|ensembl:ENSMUSP00000134388		20221109		NCBITaxon:9823
CGD	CGD:CAL0130394	CAGL0I01694g	CGD_REF:CAL0121033		GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IEA	SGD:S000003796		20210202		NCBITaxon:284593
UniProt	Xenbase:XB-GENE-866102	chek1.S	GO_REF:0000024		GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	ISS	UniProtKB:O35280		20110926		NCBITaxon:8355
TAIR	AGI_LocusCode:AT1G47870	ATE2F2	TAIR:Publication:501782038|PMID:30427087		GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IMP			20181205		NCBITaxon:3702
CGD	CGD:CAL0000222223	B9J08_002832	CGD_REF:CAL0121033		GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IEA	SGD:S000003796		20210202		NCBITaxon:498019
CGD	CGD:CAL0000165215	Cd36_33570	CGD_REF:CAL0121033		GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IEA	SGD:S000003796		20210202		NCBITaxon:573826
CGD	CGD:CAL0000189079	CR_07910C_A	CGD_REF:CAL0121033		GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IEA	SGD:S000003796		20210202		NCBITaxon:237561
CGD	CGD:CAL0000147345	CPAR2_702030	CGD_REF:CAL0121033		GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IEA	SGD:S000003796		20210202		NCBITaxon:578454
UniProt	UniProtKB:O14757	CHEK1	GO_REF:0000024		GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	ISS	UniProtKB:O35280		20110919		NCBITaxon:9606
UniProt	RGD:620545	Chek1	GO_REF:0000024|RGD:1600115		GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	ISS	UniProtKB:O35280		20110926		NCBITaxon:10116
RGD	RGD:620545	Chek1	RGD:1624291		GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	ISO	MGI:1202065		20110919		NCBITaxon:10116
UniProt	MGI:MGI:1202065	Chek1	MGI:MGI:5294291|PMID:18243098		GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IMP			20110919		NCBITaxon:10090
UniProt	UniProtKB:Q8AYC9	CHEK1	GO_REF:0000024		GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	ISS	UniProtKB:O35280		20110926		NCBITaxon:9031
Ensembl	UniProtKB:F6Q6K1	CHEK1	GO_REF:0000107		GO:0010767	regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IEA	UniProtKB:O35280|ensembl:ENSMUSP00000134388		20220907		NCBITaxon:9913
