assigned_by	bioentity	bioentity_label	reference	qualifier	annotation_class	annotation_class_label	evidence_type	evidence_with	bioentity_isoformpanther_family	date	annotation_extension_class	taxon
Ensembl	UniProtKB:A0A287BIE4	NEDD4	GO_REF:0000107		GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IEA	UniProtKB:P46934|ensembl:ENSP00000410613		20221109		NCBITaxon:9823
CGD	CGD:LELG_04350	LELG_04350	CGD_REF:CAL0121033		GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IEA	CGD:CAL0000192725		20220104		NCBITaxon:379508
CGD	CGD:CAL0000192725	RFX2	CGD_REF:CAL0122455|PMID:19252121		GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IMP			20140625		NCBITaxon:237561
CGD	CGD:CAL0127248	CAGL0C02519g	CGD_REF:CAL0121033		GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IEA	SGD:S000000830		20210202		NCBITaxon:284593
CGD	CGD:DEHA2D17930g	DEHA2D17930g	CGD_REF:CAL0121033		GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IEA	CGD:CAL0000192725		20220104		NCBITaxon:284592
CGD	CGD:CORT_0E01340	CORT_0E01340	CGD_REF:CAL0121033		GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IEA	CGD:CAL0000192725		20220104		NCBITaxon:1136231
CGD	CGD:PGUG_05232	PGUG_05232	CGD_REF:CAL0121033		GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IEA	CGD:CAL0000192725		20220104		NCBITaxon:294746
CGD	CGD:CTRG_00244	CTRG_00244	CGD_REF:CAL0121033		GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IEA	CGD:CAL0000192725		20220104		NCBITaxon:294747
CGD	CGD:CLUG_02135	CLUG_02135	CGD_REF:CAL0121033		GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IEA	CGD:CAL0000192725		20220104		NCBITaxon:306902
BHF-UCL	UniProtKB:P46934	NEDD4	PMID:17996703		GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IMP			20081007		NCBITaxon:9606
RGD	RGD:3157	Nedd4	RGD:1624291		GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	ISO	UniProtKB:P46934		20081007		NCBITaxon:10116
MGI	MGI:MGI:97297	Nedd4	MGI:MGI:4834177|GO_REF:0000096		GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	ISO	UniProtKB:P46934		20081007		NCBITaxon:10090
Ensembl	UniProtKB:F1MJ10	NEDD4	GO_REF:0000107		GO:0010768	negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage	IEA	UniProtKB:P46934|ensembl:ENSP00000410613		20220907		NCBITaxon:9913
